No,,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y),지번주소,도로명주소
1,0,1215383,2015,공공하수도중 간선하수관,공공하수도중 간선하수관,0,36472,0,문래동31~신대방동674,37.5131406,126.9003116,서울특별시 영등포구 문래동1가 31,서울특별시 영등포구 문래동1가 경인로88길 9-5
2,1,1125345,2015,노외주차장,주차장,0,841,0,사당동 산32-62,37.484039,126.9651143,서울특별시 동작구 사당동 산 32-83,서울특별시 동작구 솔밭로 83
3,2,1125346,2015,노외주차장,주차장,0,1012,0,대방동 395-1,37.50018041,126.9262796,서울특별시 동작구 대방동 395-1,서울특별시 동작구 상도로 49
4,3,1125347,2015,노외주차장,주차장,0,606,0,신대방동 351-14,37.49874549,126.9274675,서울특별시 동작구 신대방동 351-14,서울특별시 동작구 여의대방로24차길 44
5,4,1125348,2015,노외주차장,주차장,0,985,0,신대방동 607-45,37.48878109,126.9078473,서울특별시 동작구 신대방동 607-45,서울특별시 동작구 신대방11길 32
6,5,1125349,2015,노외주차장,주차장,0,430,0,상도동 179-1,37.5044429,126.940154,서울특별시 동작구 상도동 179-1,서울특별시 동작구 장승배기로10길 16
7,6,1125350,2015,노외주차장,주차장,0,476,0,상도동 299-16,37.49535205,126.9318945,서울특별시 동작구 상도동 299-16,서울특별시 동작구 국사봉12길 11
8,7,1125351,2015,노외주차장,주차장,0,1706,0,상도동 275,37.49678425,126.9356871,서울특별시 동작구 상도동 275,서울특별시 동작구 성대로10길 35
9,8,1125352,2015,노외주차장,주차장,0,2573,0,상도동 244-110,37.49981705,126.935381,서울특별시 동작구 상도동 244-110,서울특별시 동작구 성대로17길 52
10,9,1125353,2015,노외주차장,주차장,0,1323,0,사당동 1046-1,37.47739102,126.977131,서울특별시 동작구 사당동 1046-1,서울특별시 동작구 남부순환로269길 27-9
11,10,1125354,2015,노외주차장,주차장,0,337,0,사당동 316-23,37.48182906,126.9741994,서울특별시 동작구 사당동 316-23,서울특별시 동작구 사당로20나길 26
12,11,1125355,2015,노외주차장,주차장,0,1079,0,상도동 54,37.5031573,126.9515901,서울특별시 동작구 상도1동 442,서울특별시 동작구 상도로41다길 30
13,12,1125356,2015,노외주차장,주차장,0,1402,0,상도동 301-132,37.49330922,126.9336841,서울특별시 동작구 상도동 301-132,서울특별시 동작구 국사봉16길 28
14,13,1125357,2015,노외주차장,문주차장1,0,166,0,사당동 46-3,37.4793051,126.9696895,서울특별시 동작구 사당동 1000,서울특별시 동작구 사당로16자길 43
15,14,1125358,2015,노외주차장,문주차장2,0,166,0,사당동 46-4,37.49328488,126.9770324,서울특별시 동작구 사당동 46-4,서울특별시 동작구 동작대로35차길 8
16,15,1125359,2015,노외주차장,주차장2개소,0,112,0,사당동 산 66,37.4829177,126.9644524,서울특별시 동작구 사당동 236-21,서울특별시 동작구 솔밭로 47
17,16,1184198,2015,교차점광장,광장,0,6404,0,"노량진, 본동",37.51070581,126.9403933,서울특별시 동작구 노량진동 237,서울특별시 동작구 장승배기로24길 3
18,17,1184199,2015,교차점광장,광장,0,108000,0,동작동 86일대,37.4992101,126.9826011,서울특별시 동작구 동작동 산 28-16,서울특별시 동작구 동작대로45나길 55
19,18,1184200,2015,교차점광장,광장,0,16670,0,사당동584일대,37.4896031,126.9629521,서울특별시 동작구 사당동 190-164,서울특별시 동작구 사당로2다길 86
20,19,1184201,2015,교차점광장,광장,0,10800,0,상도동370일대,37.5051869,126.9370904,서울특별시 동작구 상도동 363-135,서울특별시 동작구 등용로 10
21,20,1184202,2015,교차점광장,광장,0,144466,0,노량진320일대,37.51579347,126.9348658,서울특별시 동작구 노량진동 320,서울특별시 동작구 노들로2길 44
22,21,1184203,2015,교차점광장,광장,0,3515,0,노량진역앞일대,37.5126037,126.9411846,서울특별시 동작구 노량진동 56-12,서울특별시 동작구 장승배기로30길 6-5
23,22,1184204,2015,교차점광장,광장,0,31000,0,동작동322일대,37.50650906,126.9745266,서울특별시 동작구 동작동 322,서울특별시 동작구 현충로 174
24,23,1184205,2015,역전광장,광장,0,361,0,노량진동60번지일대,37.5137882,126.9403197,서울특별시 동작구 노량진동 60-14,서울특별시 동작구 노량진로 129
25,24,1184207,2015,근린공원,공원(상도근린),0,0,0,상도동산75번지일대,37.4935875,126.9349543,서울특별시 동작구 상도동 459,서울특별시 동작구 국사봉길 175
26,25,1184208,2015,근린공원,현충,0,0,0,동작동산30-7일대,37.50146406,126.98128,서울특별시 동작구 동작동 산 30-6,서울특별시 동작구 현충로 210
27,27,1184210,2015,근린공원,공원(노량진),0,222409,0,흑석동211-33,37.50660498,126.9545758,서울특별시 동작구 흑석동 211-33,서울특별시 동작구 매봉로4가길 45
28,28,1184213,2015,근린공원,공원(까치산),0,0,0,사당동산32번지일대,37.487551,126.9625048,서울특별시 동작구 사당동 산 32-123,서울특별시 동작구 관악로30길 47-22
29,29,1184216,2015,근린공원,공원(동작주차),0,42220,0,동작동326,37.50316379,126.9780115,서울특별시 동작구 동작동 326,서울특별시 동작구 현충로 220
30,30,1184217,2015,근린공원,공원(삼일),0,36660,0,사당동 산24-17,37.48586042,126.9745423,서울특별시 동작구 사당동 산 24-17,서울특별시 동작구 사당로17길 52
31,31,1184230,2015,근린공원,공원(보라매),0,422317,0,신대방동395,37.4932384,126.9175228,서울특별시 동작구 신대방동 460-18,서울특별시 동작구 여의대방로16길 61
32,32,1184236,2015,근린공원,"공원(노량진, 중앙)",0,14683,0,대방동44-29,37.50914973,126.9337038,서울특별시 동작구 대방동 44-29,서울특별시 동작구 등용로4길 81-20
33,33,1184237,2015,근린공원,"공원(노량진, 생태)",0,18226,0,노량진동252-3,37.51128099,126.9375561,서울특별시 동작구 노량진동 252-3,서울특별시 동작구 노량진로10가길 5-7
34,34,1184238,2015,근린공원,공원(노들),0,1235,0,노량진동119-171,37.51088072,126.9431743,서울특별시 동작구 노량진동 119-171,서울특별시 동작구 장승배기로26길 68-3
35,35,1184245,2015,근린공원,공원,0,0,0,흑석동58-11일대,37.50505087,126.9640924,서울특별시 동작구 흑석동 58-11,서울특별시 동작구 서달로12길 69-11
36,36,1184246,2015,근린공원,공원,0,0,0,흑석동69-163일대,37.50225289,126.963815,서울특별시 동작구 흑석동 69-163,서울특별시 동작구 흑석한강로 27
37,37,1184211,2015,어린이공원,공원(햇님),0,876,0,상도동424,37.49742378,126.9586559,서울특별시 동작구 상도동 424,서울특별시 동작구 상도로55길 47
38,38,1184212,2015,어린이공원,공원(토끼),0,824,0,사당1동1000-13,37.4781005,126.9680418,서울특별시 동작구 사당동 산 44-23,서울특별시 동작구 사당로16길 156-2
39,39,1184214,2015,어린이공원,공원(참새),0,2950,0,대방동414-29,37.49820084,126.9219669,서울특별시 동작구 대방동 414-29,서울특별시 동작구 여의대방로24나길 18
40,40,1184215,2015,어린이공원,공원(제비),0,1814,0,대방동362-11,37.50643369,126.9258873,서울특별시 동작구 대방동 362-11,서울특별시 동작구 대방동길 74
41,41,1184218,2015,어린이공원,공원(은하수),0,4503,0,신대방1동492-222,37.49407403,126.9126791,서울특별시 동작구 신대방동 492-222,서울특별시 동작구 여의대방로 28
42,42,1184219,2015,어린이공원,공원(양지),0,568,0,사당1동316-37,37.47988509,126.9740178,서울특별시 동작구 사당동 316-37,서울특별시 동작구 남부순환로269길 102
43,43,1184220,2015,어린이공원,공원(샛별),0,344,0,사당5동204-16,37.4873443,126.9632957,서울특별시 동작구 사당동 산 32-106,서울특별시 동작구 관악로30길 47-22
44,44,1184221,2015,어린이공원,공원(새싹),0,780,0,사당4동316-33,37.4799641,126.9731582,서울특별시 동작구 사당동 316-42,서울특별시 동작구 사당로20다길 25
45,45,1184222,2015,어린이공원,공원(새벽),0,496,0,상도3동335-141,37.50072448,126.9302005,서울특별시 동작구 상도동 335-141,서울특별시 동작구 상도로13길 7
46,46,1184223,2015,어린이공원,공원(상도4),0,304,0,상도동 264-156일대,37.49771352,126.936304,서울특별시 동작구 상도동 264-156,서울특별시 동작구 성대로 104
47,47,1184224,2015,어린이공원,공원(상도),0,1500,0,상도동172-23,37.5037122,126.9396311,서울특별시 동작구 상도동 181-15,서울특별시 동작구 장승배기로 68
48,48,1184225,2015,어린이공원,공원(상도),0,1514,0,상도동 24-55일대,37.5067787,126.9424867,서울특별시 동작구 노량진동 326,서울특별시 동작구 만양로 19
49,49,1184226,2015,어린이공원,공원(산새),0,813,0,흑석2동293-4,37.50405907,126.9679512,서울특별시 동작구 흑석동 293-4,서울특별시 동작구 현충로12길 101
50,50,1184227,2015,어린이공원,공원(비둘기),0,0,0,상도동 558,36.00385894,129.3466607,경상북도 포항시 남구 상도동 558,경상북도 포항시 남구 형산강북로 195-20
51,52,1184231,2015,어린이공원,공원(별님),0,259,0,상도4동211-415,37.49893189,126.9449665,서울특별시 동작구 상도동 211-415,서울특별시 동작구 양녕로28길 13
52,53,1184232,2015,어린이공원,공원(무궁화),0,0,0,상도동 477,37.49847559,126.9523488,서울특별시 동작구 상도동 477,서울특별시 동작구 상도로37길 66
53,54,1184233,2015,어린이공원,공원(동산),0,594,0,사당4동300-54,37.47950313,126.9697632,서울특별시 동작구 사당동 300-54,서울특별시 동작구 사당로16자길 41
54,55,1184234,2015,어린이공원,공원(늘푸른),0,1503,0,사당5동산32-76,37.48239305,126.9691708,서울특별시 동작구 사당동 산 32-76,서울특별시 동작구 사당로16다길 57
55,56,1184235,2015,어린이공원,공원(노루),0,337,0,사당4동316-23,37.48182906,126.9741994,서울특별시 동작구 사당동 316-23,서울특별시 동작구 사당로20나길 26
56,57,1184239,2015,어린이공원,공원(꿈돌이),0,761,0,사당4동300-26,37.48033887,126.9699838,서울특별시 동작구 사당동 300-26,서울특별시 동작구 사당로16사길 48
57,58,1184240,2015,어린이공원,공원(까치),0,1604,0,사당1동1028-1,37.48048863,126.9797724,서울특별시 동작구 사당동 1028-1,서울특별시 동작구 동작대로9길 35
58,59,1184241,2015,어린이공원,공원 (반달),0,185,0,사당동233-12,37.48351007,126.9679477,서울특별시 동작구 사당동 233-12,서울특별시 동작구 사당로8나길 9
59,60,1184242,2015,어린이공원,공원 (꿈동산),0,531,0,상도동55-170,37.5031401,126.9519907,서울특별시 동작구 상도1동 325-11,서울특별시 동작구 상도로47길 90
60,61,1184243,2015,어린이공원,공원,0,2390,0,사당동171-173번지 일대,37.4885018,126.9721337,서울특별시 동작구 사당동 169-8,서울특별시 동작구 사당로23길 137
61,62,1184244,2015,어린이공원,공원,0,1610,0,사당동41번지 일대,37.49145534,126.9808195,서울특별시 동작구 사당동 41,서울특별시 동작구 동작대로35길 36
62,63,1184247,2015,어린이공원,공원,0,851,0,상도동54-15,37.503921,126.9517502,서울특별시 동작구 상도1동 656-1,서울특별시 동작구 상도로47길 105
63,64,1184248,2015,어린이공원,공원,0,1043,0,노량진동221-31일대,37.5090054,126.9422065,서울특별시 동작구 노량진동 225-57,서울특별시 동작구 장승배기로20길 46-3
64,65,1184249,2015,어린이공원,공원,0,2654,0,동작동58-10일대,37.4937298,126.9779777,서울특별시 동작구 동작동 331,서울특별시 동작구 동작대로39가길 55
65,66,1184250,2015,어린이공원,공원,0,0,0,상도동36-1일대,37.5052719,126.9459914,서울특별시 동작구 상도동 22-86,서울특별시 동작구 상도로31길 83
66,67,1184251,2015,어린이공원,공원,0,2164,0,흑석동54-28일대,37.506638,126.9618125,서울특별시 동작구 흑석동 332,서울특별시 동작구 서달로10길 2
67,68,1184252,2015,어린이공원,공원,0,0,0,흑석동173-15,37.50988512,126.9596367,서울특별시 동작구 흑석동 173-15,서울특별시 동작구 현충로 52
68,69,1184253,2015,묘지공원,공원(현충묘지),0,0,0,상도동7-137번지일대,37.5047569,126.9513156,서울특별시 동작구 상도1동 528-1,서울특별시 동작구 흑석로 6
69,70,1127034,2015,배수시설,수도공급설비,2000,7038,0,상도동 산75-1일대,37.49321735,126.9384067,서울특별시 동작구 상도동 산 75-1,서울특별시 동작구 국사봉1길 235-11
70,71,1127035,2015,배수시설,수도공급설비,277,277,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16
71,72,1127036,2015,배수시설,수도공급설비,592,592,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16
72,73,1127037,2015,배수시설,수도공급설비,30000,19935,0,동작구 본동126-311일대,37.5093844,126.952701,서울특별시 동작구 본동 산 6-13,서울특별시 동작구 매봉로 134
73,74,1127038,2015,배수시설,수도공급설비,1000,1001,0,동작구 사당동 산22-16일대,37.49258041,126.9669001,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282
74,75,1127039,2015,변전시설,전기공급설비,0,4668,0,동작구 사당동 산22-16일대,37.49258041,126.9669001,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282
75,76,1127040,2015,열원시설,열공급시설,0,12209,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7
76,77,1127041,2015,대규모점포및임시시장,시장,0,3192,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7
77,78,1127042,2015,대규모점포및임시시장,시장,0,1221,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244
78,79,1127043,2015,대규모점포및임시시장,시장,0,2220,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244
79,80,1127044,2015,대규모점포및임시시장,시장,0,3192,0,동작구 상도동213-1일대,37.4968249,126.9427862,서울특별시 동작구 상도동 221-8,서울특별시 동작구 양녕로 167
80,81,1127045,2015,대규모점포및임시시장,시장,0,1635,0,동작구 신대방동361-66,37.49796881,126.9237345,서울특별시 동작구 신대방동 361-66,서울특별시 동작구 여의대방로22길 73
81,82,1127046,2015,대규모점포및임시시장,시장,0,3518,0,동작구 사당동136-1일대,37.48687591,126.9816068,서울특별시 동작구 사당동 136-1,서울특별시 동작구 동작대로 115
82,83,1127047,2015,대규모점포및임시시장,시장,0,3688,0,동작구 사당동1038-37,37.47846186,126.9785156,서울특별시 동작구 사당동 1038-37,서울특별시 동작구 동작대로7길 64
83,84,1127048,2015,농수산물도매시장,시장,0,5100,0,동작구 노량진동16-3일대,37.51408442,126.9378142,서울특별시 동작구 노량진동 16-3,서울특별시 동작구 노들로2길 21
84,85,1127049,2015,농수산물도매시장,시장,0,40178,0,동작구 노량진동13-8일대,37.51532501,126.942059,서울특별시 동작구 노량진동 13-8,서울특별시 동작구 노들로 688
85,86,1236674,2015,초등학교,강남초교,0,23421,0,상도1동 501,37.49532696,126.9554353,서울특별시 동작구 상도동 501,서울특별시 동작구 사당로 10
86,87,1236675,2015,초등학교,남사초교,0,12033,0,사당1동 1011-1,37.48234446,126.9788624,서울특별시 동작구 사당동 1011-1,서울특별시 동작구 동작대로13길 22
87,88,1236676,2015,초등학교,남성초교,0,17775,0,사당동 산27-5,37.4844685,126.9753252,서울특별시 동작구 사당동 324-24,서울특별시 동작구 사당로23길 57-14
88,89,1236677,2015,초등학교,노량진초교,0,12061,0,노량진동 238,37.511281,126.9385357,서울특별시 동작구 노량진동 246-63,서울특별시 동작구 장승배기로27길 26-12
89,90,1236678,2015,초등학교,대림초교,0,8959,0,대방동 391-62,37.5006264,126.9256932,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22
90,91,1236679,2015,초등학교,동작초교,0,11032,0,사당동 산9-1,37.49404496,126.9770104,서울특별시 동작구 사당동 산 9-1,서울특별시 동작구 동작대로29길 214
91,92,1236680,2015,초등학교,문창초교,0,15310,0,신대방동 639,37.4897018,126.9123179,서울특별시 동작구 신대방동 631-1,서울특별시 동작구 신대방2나길 21-2
92,93,1236682,2015,초등학교,상도초교,0,14800,0,상도동 238-1,36.01026355,129.3547589,경상북도 포항시 남구 상도동 238-1,경상북도 포항시 남구 상도로16번길 26
93,94,1236683,2015,초등학교,신길초교,0,12901,0,대방동 산28-1,37.423285,126.7835048,경기도 시흥시 방산동 산 67-2,경기도 시흥시 양우재길 56
94,95,1236684,2015,초등학교,신남성초교,0,12274,0,사당동 199-1,37.48854685,126.9652861,서울특별시 동작구 사당동 199-1,서울특별시 동작구 사당로 146
95,96,1236685,2015,초등학교,신상도초교,0,14350,0,상도동 산65,37.5000468,126.9417581,서울특별시 동작구 상도동 202-6,서울특별시 동작구 양녕로29길 44
96,97,1236687,2015,초등학교,은로초교,0,21658,0,흑석동 245,36.25393365,127.3457841,대전광역시 서구 흑석동 245,대전광역시 서구 조련길 61-41
97,98,1236688,2015,초등학교,흑석초교,0,10827,0,흑석동 7-1,37.50860889,126.9651515,서울특별시 동작구 흑석동 7-1,서울특별시 동작구 현충로 87
98,99,1236689,2015,초등학교,지운초교(미개설),0,5706,0,상도동 134-136,37.4948944,126.950734,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1
99,100,1236690,2015,초등학교,중대부속초교,0,12868,0,흑석동 233,37.5061297,126.9603504,서울특별시 동작구 흑석동 233,서울특별시 동작구 흑석로 102
100,101,1236691,2015,초등학교,보라매초교,0,7299,0,신대방동 485,37.4955526,126.9142213,서울특별시 동작구 신대방동 492-200,서울특별시 동작구 여의대방로10길 24
101,102,1236692,2015,초등학교,정금초교(삼일초교),0,7042,0,사당동 산18-34,37.4879478,126.9729826,서울특별시 동작구 사당동 164-74,서울특별시 동작구 사당로23길 112
102,103,1236693,2015,중학교,국사봉중학교,0,16722,0,상도동 214-437,37.49392269,126.9450308,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로22길 32-9
103,104,1236694,2015,중학교,남성중학교,0,9157,0,사당동 304-45,37.47883225,126.9723845,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166
104,105,1236695,2015,중학교,동작중학교,0,14905,0,동작동 59-1,37.49502161,126.9772724,서울특별시 동작구 동작동 59-1,서울특별시 동작구 동작대로39가길 83
105,106,1236696,2015,중학교,문창중학교,0,9571,0,신대방동 364-58,37.49580305,126.921795,서울특별시 동작구 신대방동 364-58,서울특별시 동작구 여의대방로22나길 40
106,107,1236697,2015,중학교,사당중학교,0,12512,0,사당동 209-16,37.48752759,126.9690137,서울특별시 동작구 사당동 209-16,서울특별시 동작구 사당로9가길 58
