No,,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y),지번주소,도로명주소
212,222,1184282,2015,공공공지,공공공지,0,437,0,사당동149-4,37.48438694,126.9798085,서울특별시 동작구 사당동 148-40,서울특별시 동작구 동작대로23길 33
213,223,1184283,2015,공공공지,공공공지,0,686,0,사당동324-20,37.48387855,126.9757663,서울특별시 동작구 사당동 324-20,서울특별시 동작구 사당로23길 57-14
214,224,1184284,2015,공공공지,공공공지,0,3402,0,상도4동244-183일대,37.49978486,126.9354957,서울특별시 동작구 상도동 244-183,서울특별시 동작구 성대로21가길 16
215,225,1184285,2015,공공공지,공공공지,0,923,0,상도동159-442일대,37.501027,126.9410397,서울특별시 동작구 상도동 201-73,서울특별시 동작구 장승배기로3길 8-1
216,226,1184286,2015,공공공지,공공공지,0,17,0,상도동159-1일대,37.50164342,126.9462405,서울특별시 동작구 상도동 159-1,서울특별시 동작구 양녕로36길 4
217,227,1184287,2015,공공공지,공공공지,0,31,0,상도동159-120일대,37.50171871,126.947355,서울특별시 동작구 상도동 159-120,서울특별시 동작구 상도로38길 22
218,228,1184288,2015,공공공지,공공공지,0,385,0,상도동169-86,37.5034639,126.9414906,서울특별시 동작구 상도동 521-2,서울특별시 동작구 장승배기로4길 9
219,229,1184289,2015,공공공지,공공공지,0,146,0,상도동156-54,37.5032478,126.9424165,서울특별시 동작구 상도동 521-1,서울특별시 동작구 장승배기로4길 9
220,230,1184290,2015,공공공지,공공공지,0,121,0,상도동156-3,37.5039171,126.9418959,서울특별시 동작구 상도동 535,서울특별시 동작구 상도로30길 40
221,231,1184293,2015,공공공지,공공공지,0,96,0,흑석동198-52,37.50900048,126.9564834,서울특별시 동작구 흑석동 198-38,서울특별시 동작구 흑석로9길 74
222,232,1184294,2015,공공공지,공공공지,0,189,0,흑석동225-44,37.50757936,126.9615255,서울특별시 동작구 흑석동 225-44,서울특별시 동작구 서달로13길 5-30
223,233,1184295,2015,공공공지,공공공지,0,527,0,흑석동86-81,37.50662732,126.9616754,서울특별시 동작구 흑석동 86-81,서울특별시 동작구 서달로10길 2
224,234,1184296,2015,공공공지,공공공지,0,373,0,흑석동97-2,37.50733796,126.9623125,서울특별시 동작구 흑석동 97-2,서울특별시 동작구 서달로 158
225,235,1184297,2015,공공공지,공공공지,0,114,0,흑석동97-2,37.50733796,126.9623125,서울특별시 동작구 흑석동 97-2,서울특별시 동작구 서달로 158
226,236,1184298,2015,공공공지,공공공지,0,491,0,흑석동339-3,37.50075781,126.9592558,서울특별시 동작구 흑석동 339-3,서울특별시 동작구 서달로1길 27
227,237,1184299,2015,공공공지,공공공지,0,4245,0,흑석동257,37.50017231,126.9602608,서울특별시 동작구 흑석동 257,서울특별시 동작구 서달로 83
228,238,1184300,2015,공공공지,공공공지,0,812,0,상도3동296-6일대,37.49669356,126.9322164,서울특별시 동작구 상도동 296-6,서울특별시 동작구 국사봉1길 115-5
229,239,1184301,2015,공공공지,공공공지,0,86,0,상도동36-1일대,37.5052719,126.9459914,서울특별시 동작구 상도동 22-86,서울특별시 동작구 상도로31길 83
230,240,1184302,2015,공공공지,공공공지,0,136,0,신대방동341-57일대,37.4950339,126.9254108,서울특별시 동작구 신대방동 366-59,서울특별시 동작구 보라매로9길 31
231,241,1184303,2015,공공공지,공공공지,0,94,0,신대방동698번지,37.48557939,126.9044762,서울특별시 동작구 신대방동 698,서울특별시 동작구 시흥대로 596
232,242,1184304,2015,공공공지,공공공지,0,0,0,노량진동329-12,37.50744261,126.9477525,서울특별시 동작구 노량진동 329-12,서울특별시 동작구 만양로 35
233,243,1184305,2015,공공공지,공공공지,0,968,0,노량진동315-72일대,37.5054803,126.9370511,서울특별시 동작구 상도동 363-143,서울특별시 동작구 등용로2길 4
234,244,1184306,2015,공공공지,공공공지,0,373,0,흑석동97-38일대,37.50694773,126.9625683,서울특별시 동작구 흑석동 97-38,서울특별시 동작구 서달로12길 13
235,245,1184307,2015,공공공지,공공공지,0,0,0,노량진동 294-432일대,37.5074205,126.9359534,서울특별시 동작구 노량진동 294-432,서울특별시 동작구 노량진로8나길 120
236,246,1184308,2015,공공공지,공공공지,0,222,0,사당동181-366,37.49215272,126.9630146,서울특별시 동작구 사당동 181-366,서울특별시 동작구 사당로2길 40
237,247,1127031,2015,배수시설,수도공급설비,27904,27904,0,노량진동12일대,37.5150226,126.9422066,서울특별시 동작구 노량진동 13-8,서울특별시 동작구 노들로 688
238,248,1127032,2015,배수시설,수도공급설비,2500,3869,0,사당동 산32-2,37.4841342,126.9633128,서울특별시 동작구 사당동 산 32-2,서울특별시 동작구 솔밭로 47
239,249,1127033,2015,배수시설,수도공급설비,60000,25042,0,대방동305-2일대,37.5107672,126.9289536,서울특별시 동작구 대방동 23-176,서울특별시 동작구 여의대방로44길 39
240,251,1230317,2015,송전선로,송전선로,4468,1,0,양재동산67-1 ~ 사당변전소,37.47638935,127.0259802,서울특별시 서초구 양재동 산 67-1,서울특별시 서초구 남부순환로342길 100-15
241,252,1233913,2015,노외주차장,대추벌,0,0,0,흑석동 605-16,36.26458493,127.3346233,대전광역시 서구 흑석동 605-16,대전광역시 서구 동해안로2961번길 11
242,253,1233916,2015,노외주차장,등골,0,0,0,흑석동 62,36.26795465,127.3525051,대전광역시 서구 흑석동 62,대전광역시 서구 언목재길 367-69
243,254,1233921,2015,노외주차장,사진개,0,0,0,흑석동 192-1,37.5079445,126.9592706,서울특별시 동작구 흑석동 191-4,서울특별시 동작구 흑석로13가길 34-18
244,255,1233988,2015,노외주차장,노외주차장,0,617,0,흑석동966,36.25418356,127.3412302,대전광역시 서구 흑석동 966,대전광역시 서구 금평2길 27
245,258,1127789,2015,공공공지,공공공지,0,2713,0,흑석동 523-10,37.14586378,128.2455352,충청북도 제천시 흑석동 220,충청북도 제천시 흑석무도로 165
246,259,1126977,2015,초등학교,새별초교,0,12049,0,광산구 흑석동 521(수완지구),35.1827792,126.8124994,광주광역시 광산구 흑석동 521,광주광역시 광산구 풍영로 125
247,260,1234168,2015,배수시설,배수지,1,1850,0,흑석동산72,36.2553625,127.3447489,대전광역시 서구 흑석동 산 72,대전광역시 서구 벌곡로 672
248,261,1233275,2015,어린이공원,두레박,0,1498,0,서구 흑석동 842,36.25509109,127.3397638,대전광역시 서구 흑석동 842,대전광역시 서구 세점길 11
249,262,1233286,2015,어린이공원,금평,0,1580,0,서구 흑석동 983,36.25395085,127.3415559,대전광역시 서구 흑석동 983,대전광역시 서구 금평4길 11
250,263,1233162,2015,경관녹지,흑석동 898외2필지,0,0,0,서구 흑석동 898외2필지,36.2562116,127.34243,대전광역시 서구 흑석동 898,대전광역시 서구 흑석2길 65
251,264,1244063,2015,소하천,등골소하천,1200,0,0,흑석동102~흑석동487-3,36.26983247,127.3517655,대전광역시 서구 흑석동 102,대전광역시 서구 언목재길 327
252,265,1244064,2015,소하천,사진개소하천,760,0,0,흑석동178-1~흑석동437-4,37.1456317,128.241524,충청북도 제천시 흑석동 178-1,충청북도 제천시 솔치로 138
253,266,1135357,2015,노외주차장,흑석동 주차장,0,0,0,흑석동 158-15 일원,35.18111496,126.8065482,광주광역시 광산구 흑석동 158-15,광주광역시 광산구 하남대로 127-30
254,267,1127576,2015,근린공원,하남3지구공원,0,0,0,광산구 흑석동 313-5,35.18330604,126.8024024,광주광역시 광산구 흑석동 723,광주광역시 광산구 마항길 5
255,268,1127577,2015,근린공원,근린공원,0,0,0,광산구 흑석동 산48,35.18324459,126.8081936,광주광역시 광산구 흑석동 산 48,광주광역시 광산구 사암로 435-1
256,269,1135163,2015,노외주차장,주차장,0,594,0,흑석동 543(수완지구),36.27359243,127.3385184,대전광역시 서구 흑석동 543,대전광역시 서구 노루벌1길 343
257,270,1135164,2015,노외주차장,주차장,0,0,0,흑석동 553(수완지구),36.27168487,127.3378226,대전광역시 서구 흑석동 551-1,대전광역시 서구 노루벌1길 355
258,271,1135165,2015,노외주차장,주차장,0,0,0,흑석동 593(수완지구),35.18056777,126.8109039,광주광역시 광산구 흑석동 593,광주광역시 광산구 풍영로101번안길 3-6
259,272,1127628,2015,어린이공원,해님,0,1606,0,흑석동 520,37.1347553,128.2444819,충청북도 제천시 흑석동 520,충청북도 제천시 흑석무도로2길 5
260,273,1127629,2015,어린이공원,장자울,0,1568,0,흑석동 573,36.26840312,127.3382949,대전광역시 서구 흑석동 573,대전광역시 서구 안물안길 38-44
261,274,1234072,2015,중학교,기성,0,22501,0,흑석동295,37.5039496,126.9683158,서울특별시 동작구 흑석동 295,서울특별시 동작구 현충로12길 106
262,275,1234134,2015,자치단체청사,우체분국,0,364,0,흑석동843,36.25490698,127.3400168,대전광역시 서구 흑석동 843,대전광역시 서구 세점길 11
263,276,1234135,2015,자치단체청사,파출소 소방파출소,0,633,0,흑석동956,36.25513355,127.3429475,대전광역시 서구 흑석동 956,대전광역시 서구 벌곡로 672
264,277,1234141,2015,자치단체청사,동사무소,0,2203,0,흑석동892,36.25580814,127.3416099,대전광역시 서구 흑석동 892,대전광역시 서구 흑석1길 16
265,278,1248146,2015,지방하천,갈월천,3490,129130,2410,"대방리 649-4, 정산리224-1",35.4026993,126.9522231,전라북도 순창군 복흥면 대방리 649-4,전라북도 순창군 복흥면 용지길 74
266,279,1127860,2015,초등학교,학교24,0,11907,0,흑석동 436,37.13414119,128.2448239,충청북도 제천시 흑석동 436,충청북도 제천시 의병대로 415
267,280,1184114,2015,교차점광장,13호광장(비도시),0,68740,0,이월면 사당리 산10-2,36.94147557,127.4504202,충청북도 진천군 이월면 사당리 산 10-2,충청북도 진천군 이월면 관지미길 107
268,281,1117886,2015,사회복지법인시설,사회복지시설1,0,41318,0,흑석동 45-1,37.14004312,128.2522311,충청북도 제천시 흑석동 45-1,충청북도 제천시 의병대로45길 58
269,282,1117660,2015,역전광장,광장24,0,0,0,흑석동 420-1,36.25867608,127.3408539,대전광역시 서구 흑석동 420-1,대전광역시 서구 벌곡로 709-36
270,283,1181565,2015,지방하천,고자천,12820,310815,0,상촌면 상도대리 448,36.12596342,127.8732103,충청북도 영동군 상촌면 상도대리 448,충청북도 영동군 상촌면 상도대2길 22
271,284,1218977,2015,근린공원,해도공원,0,84400,0,포항시 상도동,36.00819229,129.3509975,경상북도 포항시 남구 상도동 174-3,경상북도 포항시 남구 뱃머리길 6-35
272,285,1218767,2015,어린이공원,상도4어린이공원,0,1526,0,상도동 18-125 일원,36.01530049,129.359395,경상북도 포항시 남구 상도동 18-125,경상북도 포항시 남구 상공로 84
273,286,1218768,2015,어린이공원,상도5공원,0,2844,0,상도동 455-174 일원,37.506033,126.9332826,서울특별시 동작구 대방동 5,서울특별시 동작구 등용로 50
274,287,1218807,2015,어린이공원,상 도 3,0,4108,0,상도동 18-63,36.01660849,129.3578275,경상북도 포항시 남구 상도동 18-63,경상북도 포항시 남구 중흥로162번길 32-3
275,288,1218555,2015,경관녹지,녹지,0,440,0,상도동 466-3 일원,37.49902499,126.9522633,서울특별시 동작구 상도동 466-1,서울특별시 동작구 상도로49길 10-1
276,289,1197749,2015,물류시설,대규모점포,0,22349,0,상도동 472-1 일원,37.4973308,126.9498212,서울특별시 동작구 상도동 533,서울특별시 동작구 상도로 346-2
277,291,1219226,2015,공공도서관,도서관,0,54583,0,상도동 194-2 일원,37.50231631,126.9364721,서울특별시 동작구 상도동 194-2,서울특별시 동작구 상도로22가길 8
278,292,1219234,2015,사회복지법인시설,사회복지시설,0,54583,0,상도동 196-4 일원,37.50226141,126.9379318,서울특별시 동작구 상도동 196-4,서울특별시 동작구 장승배기로9다길 26
279,293,1219235,2015,자치단체청소년수련시설,청소년수련시설,0,54583,0,상도동 110 일원,36.00715141,129.355805,경상북도 포항시 남구 상도동 110,경상북도 포항시 남구 뱃머리길 39
280,294,1198966,2015,공공하수도중 간선하수관,형산배수펌프장및    유수지,0,86425,0,포항시상도동 497,36.00747056,129.347164,경상북도 포항시 남구 상도동 497,경상북도 포항시 남구 연일로 55
281,296,1197839,2015,대규모점포및임시시장,상도1시장,0,165,0,포항시 상도동629,36.01258147,129.356216,경상북도 포항시 남구 상도동 629,경상북도 포항시 남구 상공로 43
282,297,1197840,2015,대규모점포및임시시장,상도 시장,0,1655,0,포항시 상도동1-12,36.01992196,129.3610329,경상북도 포항시 남구 상도동 1-12,경상북도 포항시 남구 양학천로76번길 13
283,298,1218670,2015,완충녹지,녹지,0,3508,0,상도동 455-107 일원,36.00988758,129.3464137,경상북도 포항시 남구 상도동 672,경상북도 포항시 남구 상도남로 25
284,299,1218712,2015,완충녹지,녹지,0,22206,0,남구 상도동 201-4 일대,36.00819874,129.3546532,경상북도 포항시 남구 상도동 200-3,경상북도 포항시 남구 희망대로 743
285,300,1195201,2015,노외주차장,주차장,0,1826,0,상도동 466-8일원,37.4987322,126.952354,서울특별시 동작구 상도동 67-6,서울특별시 동작구 상도로37길 61
286,301,1196590,2015,여객자동차터미널,여객자동차 터미날 (시내·외),0,20027,0,상도동 579-12∼13,36.01392941,129.3500814,경상북도 포항시 남구 상도동 579-12,경상북도 포항시 남구 중흥로 93
287,302,1218952,2015,근린공원,상도공원,0,49605,0,남구 상도동 175-1 일대,36.0085867,129.3515831,경상북도 포항시 남구 상도동 175-1,경상북도 포항시 남구 뱃머리길 6-35
288,303,1100889,2015,노외주차장,주차장15,0,2539,0,대구면 사당리 239-2,34.50766853,126.7983584,전라남도 강진군 대구면 사당리 239-2,전라남도 강진군 대구면 미산길 2
289,304,1250917,2015,어린이공원,창원-어린이공원167,0,0,0,대산면 대방리 37답,35.34271336,128.6954008,경상남도 창원시 의창구 대산면 대방리 37,경상남도 창원시 의창구 대산면 봉강가술로411번길 5
290,305,1133239,2015,교차점광장,창원-광장32,0,26579,0,성산구 대방동 산 84-2,35.20799121,128.7132661,경상남도 창원시 성산구 대방동 산 84-2,경상남도 창원시 성산구 대암로 185-45
291,306,1123143,2015,배수시설,창원-수도공급설비-9,15000,32186,0,대방동 산6,34.942425,128.0615003,경상남도 사천시 대방동 산 6,
292,307,1113492,2015,초등학교,창원-학교-25,0,15790,0,대방동 359,35.21122638,128.706677,경상남도 창원시 성산구 대방동 359,경상남도 창원시 성산구 대정로 132
293,308,1113503,2015,초등학교,창원-학교-65,0,17812,0,대방동 368,35.20941071,128.7097672,경상남도 창원시 성산구 대방동 368,경상남도 창원시 성산구 가양로 158
294,309,1113504,2015,초등학교,창원-학교-66,0,15969,0,대방동 372,34.93177818,128.058569,경상남도 사천시 대방동 372,경상남도 사천시 각산로 150
295,310,1113577,2015,중학교,창원-학교-42,0,15786,0,대방동 360,35.21014119,128.7069736,경상남도 창원시 성산구 대방동 360,경상남도 창원시 성산구 가양로 133
296,311,1113585,2015,중학교,창원-학교-68,0,16969,0,대방동 373,34.93196391,128.0587593,경상남도 사천시 대방동 373,경상남도 사천시 삼천포대교로 278
297,312,1251094,2015,체육공원,창원-체육공원16,0,530571,0,대방동 250-1,34.92916592,128.0566524,경상남도 사천시 대방동 250,경상남도 사천시 대방길 123
298,313,1251120,2015,소공원,창원-소공원218,0,0,0,대산면 대방리 442,35.34421169,128.6906217,경상남도 창원시 의창구 대산면 대방리 442,경상남도 창원시 의창구 대산면 봉강가술로358번길 11
299,314,1251121,2015,소공원,창원-소공원217,0,0,0,대산면 대방리 526,35.34424017,128.6920446,경상남도 창원시 의창구 대산면 대방리 526,경상남도 창원시 의창구 대산면 봉강가술로394번길 12-3
300,315,1251122,2015,소공원,창원-소공원216,0,0,0,대산면 대방리 529,35.3442528,128.6931379,경상남도 창원시 의창구 대산면 대방리 529,경상남도 창원시 의창구 대산면 봉강가술로 390
301,316,1250840,2015,어린이공원,창원-어린이공원64(대암),0,2098,0,대방동 370-3,35.20659347,128.7109814,경상남도 창원시 성산구 대방동 370-3,경상남도 창원시 성산구 대암로 213
302,317,1250849,2015,어린이공원,창원-어린이공원55(먼등),0,508,0,대방동 333-3,37.49912695,126.9287613,서울특별시 동작구 대방동 333-3,서울특별시 동작구 국사봉1길 3
303,318,1128799,2015,노외주차장,창원-주차장-161,0,0,0,의창구 대산면 대방리 442일원,35.34421169,128.6906217,경상남도 창원시 의창구 대산면 대방리 442,경상남도 창원시 의창구 대산면 봉강가술로358번길 11
304,319,1128806,2015,노외주차장,창원-주차장-17,0,1638,0,성산구 대방동 338-2,35.21646408,128.7079736,경상남도 창원시 성산구 대방동 338-2,경상남도 창원시 성산구 대암로101번길 6-15
305,320,1128810,2015,노외주차장,창원-주차장-173,0,0,0,의창구 대산면 대방리 120-1,35.34454191,128.6934846,경상남도 창원시 의창구 대산면 대방리 120-1,경상남도 창원시 의창구 대산면 봉강가술로 390
306,321,1128812,2015,노외주차장,창원-주차장-18,0,1016,0,성산구 대방동 344-1,35.21535265,128.7091323,경상남도 창원시 성산구 대방동 344-1,경상남도 창원시 성산구 대암로115번길 6-8
307,322,1128822,2015,노외주차장,창원-주차장-19,0,5173,0,성산구 대방동 361-2,35.2079171,128.7070105,경상남도 창원시 성산구 대방동 361-2,경상남도 창원시 성산구 가양로124번길 15
308,323,1132733,2015,경관녹지,창원-경관녹지12,0,7500,0,대방동 368-1,35.20900731,128.7091047,경상남도 창원시 성산구 대방동 368-1,경상남도 창원시 성산구 창이대로881번길 19
309,324,1132744,2015,경관녹지,창원-경관녹지11,0,5659,0,대방동 355-1,35.2144232,128.7064391,경상남도 창원시 성산구 대방동 355,경상남도 창원시 성산구 대암로 82
310,325,1184254,2015,완충녹지,녹지,0,336,0,사당동산24,37.4851471,126.9738881,서울특별시 동작구 사당동 169-8,서울특별시 동작구 사당로17길 52
311,326,1184314,2015,소공원,공원,0,757,0,상도동 27-3일대,36.01801742,129.3570692,경상북도 포항시 남구 상도동 27-3,경상북도 포항시 남구 중흥로162번길 21-5
312,327,1132250,2015,고등학교,세화고등학교,0,33289,0,구좌읍상도리73,33.4938629,126.8680346,제주특별자치도 제주시 구좌읍 상도리 73,제주특별자치도 제주시 구좌읍 상도동길 204-16
313,328,1132891,2015,완충녹지,창원-완충녹지7,0,201926,0,대방동 473-1,35.21049657,128.7056102,경상남도 창원시 성산구 대방동 473-1,경상남도 창원시 성산구 가양로 99
314,329,1132946,2015,완충녹지,창원-완충녹지134,0,0,0,대산면 대방리 527,35.34419778,128.6925816,경상남도 창원시 의창구 대산면 대방리 527,경상남도 창원시 의창구 대산면 봉강가술로 390
315,330,1132947,2015,완충녹지,창원-완충녹지133,0,0,0,대산면 대방리 526,35.34424017,128.6920446,경상남도 창원시 의창구 대산면 대방리 526,경상남도 창원시 의창구 대산면 봉강가술로394번길 12-3
316,331,1213716,2015,근린공원,구좌읍 상도공원,0,0,0,구좌읍 상도리 392-1,33.51426529,126.8704397,제주특별자치도 제주시 구좌읍 상도리 392-1,제주특별자치도 제주시 구좌읍 상하도길 39-17
