,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y),지번주소,도로명주소,법정동
1,1125345,2015,노외주차장,주차장,0,841,0,사당동 산32-62,37.484039,126.9651143,서울특별시 동작구 사당동 산 32-83,서울특별시 동작구 솔밭로 83,사당동
2,1125346,2015,노외주차장,주차장,0,1012,0,대방동 395-1,37.50018041,126.92627959999999,서울특별시 동작구 대방동 395-1,서울특별시 동작구 상도로 49,대방동
3,1125347,2015,노외주차장,주차장,0,606,0,신대방동 351-14,37.49874549,126.9274675,서울특별시 동작구 신대방동 351-14,서울특별시 동작구 여의대방로24차길 44,신대방동
4,1125348,2015,노외주차장,주차장,0,985,0,신대방동 607-45,37.48878109,126.9078473,서울특별시 동작구 신대방동 607-45,서울특별시 동작구 신대방11길 32,신대방동
5,1125349,2015,노외주차장,주차장,0,430,0,상도동 179-1,37.5044429,126.940154,서울특별시 동작구 상도동 179-1,서울특별시 동작구 장승배기로10길 16,상도동
6,1125350,2015,노외주차장,주차장,0,476,0,상도동 299-16,37.49535205,126.93189450000001,서울특별시 동작구 상도동 299-16,서울특별시 동작구 국사봉12길 11,상도동
7,1125351,2015,노외주차장,주차장,0,1706,0,상도동 275,37.49678425,126.93568710000001,서울특별시 동작구 상도동 275,서울특별시 동작구 성대로10길 35,상도동
8,1125352,2015,노외주차장,주차장,0,2573,0,상도동 244-110,37.49981705,126.935381,서울특별시 동작구 상도동 244-110,서울특별시 동작구 성대로17길 52,상도동
9,1125353,2015,노외주차장,주차장,0,1323,0,사당동 1046-1,37.47739102,126.977131,서울특별시 동작구 사당동 1046-1,서울특별시 동작구 남부순환로269길 27-9,사당동
10,1125354,2015,노외주차장,주차장,0,337,0,사당동 316-23,37.48182906,126.97419939999999,서울특별시 동작구 사당동 316-23,서울특별시 동작구 사당로20나길 26,사당동
11,1125355,2015,노외주차장,주차장,0,1079,0,상도동 54,37.5031573,126.95159009999999,서울특별시 동작구 상도1동 442,서울특별시 동작구 상도로41다길 30,상도1동
12,1125356,2015,노외주차장,주차장,0,1402,0,상도동 301-132,37.49330922,126.93368410000001,서울특별시 동작구 상도동 301-132,서울특별시 동작구 국사봉16길 28,상도동
13,1125357,2015,노외주차장,문주차장1,0,166,0,사당동 46-3,37.479305100000005,126.9696895,서울특별시 동작구 사당동 1000,서울특별시 동작구 사당로16자길 43,사당동
14,1125358,2015,노외주차장,문주차장2,0,166,0,사당동 46-4,37.49328488,126.9770324,서울특별시 동작구 사당동 46-4,서울특별시 동작구 동작대로35차길 8,사당동
15,1125359,2015,노외주차장,주차장2개소,0,112,0,사당동 산 66,37.4829177,126.9644524,서울특별시 동작구 사당동 236-21,서울특별시 동작구 솔밭로 47,사당동
16,1184198,2015,교차점광장,광장,0,6404,0,"노량진, 본동",37.51070581,126.9403933,서울특별시 동작구 노량진동 237,서울특별시 동작구 장승배기로24길 3,노량진동
17,1184199,2015,교차점광장,광장,0,108000,0,동작동 86일대,37.4992101,126.9826011,서울특별시 동작구 동작동 산 28-16,서울특별시 동작구 동작대로45나길 55,동작동
18,1184200,2015,교차점광장,광장,0,16670,0,사당동584일대,37.489603100000004,126.9629521,서울특별시 동작구 사당동 190-164,서울특별시 동작구 사당로2다길 86,사당동
19,1184201,2015,교차점광장,광장,0,10800,0,상도동370일대,37.5051869,126.93709040000002,서울특별시 동작구 상도동 363-135,서울특별시 동작구 등용로 10,상도동
20,1184202,2015,교차점광장,광장,0,144466,0,노량진320일대,37.51579347,126.93486580000001,서울특별시 동작구 노량진동 320,서울특별시 동작구 노들로2길 44,노량진동
21,1184203,2015,교차점광장,광장,0,3515,0,노량진역앞일대,37.5126037,126.94118459999999,서울특별시 동작구 노량진동 56-12,서울특별시 동작구 장승배기로30길 6-5,노량진동
22,1184204,2015,교차점광장,광장,0,31000,0,동작동322일대,37.50650906,126.97452659999998,서울특별시 동작구 동작동 322,서울특별시 동작구 현충로 174,동작동
23,1184205,2015,역전광장,광장,0,361,0,노량진동60번지일대,37.51378820000001,126.94031969999999,서울특별시 동작구 노량진동 60-14,서울특별시 동작구 노량진로 129,노량진동
24,1184207,2015,근린공원,공원(상도근린),0,0,0,상도동산75번지일대,37.4935875,126.9349543,서울특별시 동작구 상도동 459,서울특별시 동작구 국사봉길 175,상도동
25,1184208,2015,근린공원,현충,0,0,0,동작동산30-7일대,37.50146406,126.98128,서울특별시 동작구 동작동 산 30-6,서울특별시 동작구 현충로 210,동작동
26,1184210,2015,근린공원,공원(노량진),0,222409,0,흑석동211-33,37.50660498,126.95457579999999,서울특별시 동작구 흑석동 211-33,서울특별시 동작구 매봉로4가길 45,흑석동
27,1184213,2015,근린공원,공원(까치산),0,0,0,사당동산32번지일대,37.487551,126.96250479999999,서울특별시 동작구 사당동 산 32-123,서울특별시 동작구 관악로30길 47-22,사당동
28,1184216,2015,근린공원,공원(동작주차),0,42220,0,동작동326,37.50316379,126.9780115,서울특별시 동작구 동작동 326,서울특별시 동작구 현충로 220,동작동
29,1184217,2015,근린공원,공원(삼일),0,36660,0,사당동 산24-17,37.48586042,126.9745423,서울특별시 동작구 사당동 산 24-17,서울특별시 동작구 사당로17길 52,사당동
30,1184230,2015,근린공원,공원(보라매),0,422317,0,신대방동395,37.493238399999996,126.91752279999999,서울특별시 동작구 신대방동 460-18,서울특별시 동작구 여의대방로16길 61,신대방동
31,1184236,2015,근린공원,"공원(노량진, 중앙)",0,14683,0,대방동44-29,37.50914973,126.93370379999999,서울특별시 동작구 대방동 44-29,서울특별시 동작구 등용로4길 81-20,대방동
32,1184237,2015,근린공원,"공원(노량진, 생태)",0,18226,0,노량진동252-3,37.51128099,126.9375561,서울특별시 동작구 노량진동 252-3,서울특별시 동작구 노량진로10가길 5-7,노량진동
33,1184238,2015,근린공원,공원(노들),0,1235,0,노량진동119-171,37.51088072,126.9431743,서울특별시 동작구 노량진동 119-171,서울특별시 동작구 장승배기로26길 68-3,노량진동
34,1184245,2015,근린공원,공원,0,0,0,흑석동58-11일대,37.50505087,126.96409240000001,서울특별시 동작구 흑석동 58-11,서울특별시 동작구 서달로12길 69-11,흑석동
35,1184246,2015,근린공원,공원,0,0,0,흑석동69-163일대,37.50225289,126.963815,서울특별시 동작구 흑석동 69-163,서울특별시 동작구 흑석한강로 27,흑석동
36,1184211,2015,어린이공원,공원(햇님),0,876,0,상도동424,37.49742378,126.95865590000001,서울특별시 동작구 상도동 424,서울특별시 동작구 상도로55길 47,상도동
37,1184212,2015,어린이공원,공원(토끼),0,824,0,사당1동1000-13,37.478100500000004,126.96804180000001,서울특별시 동작구 사당동 산 44-23,서울특별시 동작구 사당로16길 156-2,사당동
38,1184214,2015,어린이공원,공원(참새),0,2950,0,대방동414-29,37.49820084,126.9219669,서울특별시 동작구 대방동 414-29,서울특별시 동작구 여의대방로24나길 18,대방동
39,1184215,2015,어린이공원,공원(제비),0,1814,0,대방동362-11,37.50643369,126.92588729999999,서울특별시 동작구 대방동 362-11,서울특별시 동작구 대방동길 74,대방동
40,1184218,2015,어린이공원,공원(은하수),0,4503,0,신대방1동492-222,37.49407403,126.91267909999999,서울특별시 동작구 신대방동 492-222,서울특별시 동작구 여의대방로 28,신대방동
41,1184219,2015,어린이공원,공원(양지),0,568,0,사당1동316-37,37.47988509,126.97401780000001,서울특별시 동작구 사당동 316-37,서울특별시 동작구 남부순환로269길 102,사당동
42,1184220,2015,어린이공원,공원(샛별),0,344,0,사당5동204-16,37.4873443,126.96329569999999,서울특별시 동작구 사당동 산 32-106,서울특별시 동작구 관악로30길 47-22,사당동
43,1184221,2015,어린이공원,공원(새싹),0,780,0,사당4동316-33,37.479964100000004,126.9731582,서울특별시 동작구 사당동 316-42,서울특별시 동작구 사당로20다길 25,사당동
44,1184222,2015,어린이공원,공원(새벽),0,496,0,상도3동335-141,37.50072448,126.93020049999998,서울특별시 동작구 상도동 335-141,서울특별시 동작구 상도로13길 7,상도동
45,1184223,2015,어린이공원,공원(상도4),0,304,0,상도동 264-156일대,37.49771352,126.936304,서울특별시 동작구 상도동 264-156,서울특별시 동작구 성대로 104,상도동
46,1184224,2015,어린이공원,공원(상도),0,1500,0,상도동172-23,37.5037122,126.9396311,서울특별시 동작구 상도동 181-15,서울특별시 동작구 장승배기로 68,상도동
47,1184225,2015,어린이공원,공원(상도),0,1514,0,상도동 24-55일대,37.5067787,126.9424867,서울특별시 동작구 노량진동 326,서울특별시 동작구 만양로 19,노량진동
48,1184226,2015,어린이공원,공원(산새),0,813,0,흑석2동293-4,37.50405907,126.96795120000002,서울특별시 동작구 흑석동 293-4,서울특별시 동작구 현충로12길 101,흑석동
50,1184231,2015,어린이공원,공원(별님),0,259,0,상도4동211-415,37.49893189,126.9449665,서울특별시 동작구 상도동 211-415,서울특별시 동작구 양녕로28길 13,상도동
51,1184232,2015,어린이공원,공원(무궁화),0,0,0,상도동 477,37.49847559,126.9523488,서울특별시 동작구 상도동 477,서울특별시 동작구 상도로37길 66,상도동
52,1184233,2015,어린이공원,공원(동산),0,594,0,사당4동300-54,37.47950313,126.9697632,서울특별시 동작구 사당동 300-54,서울특별시 동작구 사당로16자길 41,사당동
53,1184234,2015,어린이공원,공원(늘푸른),0,1503,0,사당5동산32-76,37.48239305,126.96917079999999,서울특별시 동작구 사당동 산 32-76,서울특별시 동작구 사당로16다길 57,사당동
54,1184235,2015,어린이공원,공원(노루),0,337,0,사당4동316-23,37.48182906,126.97419939999999,서울특별시 동작구 사당동 316-23,서울특별시 동작구 사당로20나길 26,사당동
55,1184239,2015,어린이공원,공원(꿈돌이),0,761,0,사당4동300-26,37.48033887,126.9699838,서울특별시 동작구 사당동 300-26,서울특별시 동작구 사당로16사길 48,사당동
56,1184240,2015,어린이공원,공원(까치),0,1604,0,사당1동1028-1,37.48048863,126.97977240000002,서울특별시 동작구 사당동 1028-1,서울특별시 동작구 동작대로9길 35,사당동
57,1184241,2015,어린이공원,공원 (반달),0,185,0,사당동233-12,37.48351007,126.9679477,서울특별시 동작구 사당동 233-12,서울특별시 동작구 사당로8나길 9,사당동
58,1184242,2015,어린이공원,공원 (꿈동산),0,531,0,상도동55-170,37.5031401,126.95199070000001,서울특별시 동작구 상도1동 325-11,서울특별시 동작구 상도로47길 90,상도1동
59,1184243,2015,어린이공원,공원,0,2390,0,사당동171-173번지 일대,37.4885018,126.9721337,서울특별시 동작구 사당동 169-8,서울특별시 동작구 사당로23길 137,사당동
60,1184244,2015,어린이공원,공원,0,1610,0,사당동41번지 일대,37.49145534,126.98081950000001,서울특별시 동작구 사당동 41,서울특별시 동작구 동작대로35길 36,사당동
61,1184247,2015,어린이공원,공원,0,851,0,상도동54-15,37.503921000000005,126.9517502,서울특별시 동작구 상도1동 656-1,서울특별시 동작구 상도로47길 105,상도1동
62,1184248,2015,어린이공원,공원,0,1043,0,노량진동221-31일대,37.5090054,126.9422065,서울특별시 동작구 노량진동 225-57,서울특별시 동작구 장승배기로20길 46-3,노량진동
63,1184249,2015,어린이공원,공원,0,2654,0,동작동58-10일대,37.4937298,126.9779777,서울특별시 동작구 동작동 331,서울특별시 동작구 동작대로39가길 55,동작동
64,1184250,2015,어린이공원,공원,0,0,0,상도동36-1일대,37.5052719,126.94599140000001,서울특별시 동작구 상도동 22-86,서울특별시 동작구 상도로31길 83,상도동
65,1184251,2015,어린이공원,공원,0,2164,0,흑석동54-28일대,37.506638,126.9618125,서울특별시 동작구 흑석동 332,서울특별시 동작구 서달로10길 2,흑석동
66,1184252,2015,어린이공원,공원,0,0,0,흑석동173-15,37.50988512,126.9596367,서울특별시 동작구 흑석동 173-15,서울특별시 동작구 현충로 52,흑석동
67,1184253,2015,묘지공원,공원(현충묘지),0,0,0,상도동7-137번지일대,37.5047569,126.9513156,서울특별시 동작구 상도1동 528-1,서울특별시 동작구 흑석로 6,상도1동
68,1127034,2015,배수시설,수도공급설비,2000,7038,0,상도동 산75-1일대,37.49321735,126.9384067,서울특별시 동작구 상도동 산 75-1,서울특별시 동작구 국사봉1길 235-11,상도동
69,1127035,2015,배수시설,수도공급설비,277,277,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16,상도동
70,1127036,2015,배수시설,수도공급설비,592,592,0,상도동274-19,37.49696327,126.9346905,서울특별시 동작구 상도동 274-19,서울특별시 동작구 성대로10길 16,상도동
71,1127037,2015,배수시설,수도공급설비,30000,19935,0,동작구 본동126-311일대,37.509384399999995,126.952701,서울특별시 동작구 본동 산 6-13,서울특별시 동작구 매봉로 134,본동
72,1127038,2015,배수시설,수도공급설비,1000,1001,0,동작구 사당동 산22-16일대,37.49258041,126.96690009999999,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282,사당동
73,1127039,2015,변전시설,전기공급설비,0,4668,0,동작구 사당동 산22-16일대,37.49258041,126.96690009999999,서울특별시 동작구 사당동 산 22-16,서울특별시 동작구 사당로23길 282,사당동
74,1127040,2015,열원시설,열공급시설,0,12209,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7,흑석동
75,1127041,2015,대규모점포및임시시장,시장,0,3192,0,동작구 흑석동105일대,37.50856741,126.9629645,서울특별시 동작구 흑석동 105,서울특별시 동작구 서달로15길 8-7,흑석동
76,1127042,2015,대규모점포및임시시장,시장,0,1221,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244,사당동
77,1127043,2015,대규모점포및임시시장,시장,0,2220,0,동작구 사당동 318-8,37.48286376,126.9749851,서울특별시 동작구 사당동 318-8,서울특별시 동작구 사당로 244,사당동
78,1127044,2015,대규모점포및임시시장,시장,0,3192,0,동작구 상도동213-1일대,37.4968249,126.9427862,서울특별시 동작구 상도동 221-8,서울특별시 동작구 양녕로 167,상도동
79,1127045,2015,대규모점포및임시시장,시장,0,1635,0,동작구 신대방동361-66,37.49796881,126.9237345,서울특별시 동작구 신대방동 361-66,서울특별시 동작구 여의대방로22길 73,신대방동
80,1127046,2015,대규모점포및임시시장,시장,0,3518,0,동작구 사당동136-1일대,37.48687591,126.9816068,서울특별시 동작구 사당동 136-1,서울특별시 동작구 동작대로 115,사당동
81,1127047,2015,대규모점포및임시시장,시장,0,3688,0,동작구 사당동1038-37,37.47846186,126.9785156,서울특별시 동작구 사당동 1038-37,서울특별시 동작구 동작대로7길 64,사당동
82,1127048,2015,농수산물도매시장,시장,0,5100,0,동작구 노량진동16-3일대,37.51408442,126.9378142,서울특별시 동작구 노량진동 16-3,서울특별시 동작구 노들로2길 21,노량진동
83,1127049,2015,농수산물도매시장,시장,0,40178,0,동작구 노량진동13-8일대,37.51532501,126.94205900000001,서울특별시 동작구 노량진동 13-8,서울특별시 동작구 노들로 688,노량진동
84,1236674,2015,초등학교,강남초교,0,23421,0,상도1동 501,37.49532696,126.95543529999999,서울특별시 동작구 상도동 501,서울특별시 동작구 사당로 10,상도동
85,1236675,2015,초등학교,남사초교,0,12033,0,사당1동 1011-1,37.48234446,126.97886240000001,서울특별시 동작구 사당동 1011-1,서울특별시 동작구 동작대로13길 22,사당동
86,1236676,2015,초등학교,남성초교,0,17775,0,사당동 산27-5,37.4844685,126.97532520000001,서울특별시 동작구 사당동 324-24,서울특별시 동작구 사당로23길 57-14,사당동
87,1236677,2015,초등학교,노량진초교,0,12061,0,노량진동 238,37.511281,126.9385357,서울특별시 동작구 노량진동 246-63,서울특별시 동작구 장승배기로27길 26-12,노량진동
88,1236678,2015,초등학교,대림초교,0,8959,0,대방동 391-62,37.500626399999994,126.9256932,서울특별시 동작구 대방동 391-62,서울특별시 동작구 대방동1길 22,대방동
89,1236679,2015,초등학교,동작초교,0,11032,0,사당동 산9-1,37.49404496,126.97701040000001,서울특별시 동작구 사당동 산 9-1,서울특별시 동작구 동작대로29길 214,사당동
90,1236680,2015,초등학교,문창초교,0,15310,0,신대방동 639,37.4897018,126.9123179,서울특별시 동작구 신대방동 631-1,서울특별시 동작구 신대방2나길 21-2,신대방동
93,1236684,2015,초등학교,신남성초교,0,12274,0,사당동 199-1,37.48854685,126.9652861,서울특별시 동작구 사당동 199-1,서울특별시 동작구 사당로 146,사당동
94,1236685,2015,초등학교,신상도초교,0,14350,0,상도동 산65,37.5000468,126.9417581,서울특별시 동작구 상도동 202-6,서울특별시 동작구 양녕로29길 44,상도동
96,1236688,2015,초등학교,흑석초교,0,10827,0,흑석동 7-1,37.50860889,126.96515149999999,서울특별시 동작구 흑석동 7-1,서울특별시 동작구 현충로 87,흑석동
97,1236689,2015,초등학교,지운초교(미개설),0,5706,0,상도동 134-136,37.49489439999999,126.95073400000001,서울특별시 동작구 상도동 531,서울특별시 동작구 상도로 346-1,상도동
98,1236690,2015,초등학교,중대부속초교,0,12868,0,흑석동 233,37.5061297,126.9603504,서울특별시 동작구 흑석동 233,서울특별시 동작구 흑석로 102,흑석동
99,1236691,2015,초등학교,보라매초교,0,7299,0,신대방동 485,37.4955526,126.9142213,서울특별시 동작구 신대방동 492-200,서울특별시 동작구 여의대방로10길 24,신대방동
100,1236692,2015,초등학교,정금초교(삼일초교),0,7042,0,사당동 산18-34,37.48794779999999,126.9729826,서울특별시 동작구 사당동 164-74,서울특별시 동작구 사당로23길 112,사당동
101,1236693,2015,중학교,국사봉중학교,0,16722,0,상도동 214-437,37.49392269,126.9450308,서울특별시 동작구 상도동 214-437,서울특별시 동작구 양녕로22길 32-9,상도동
102,1236694,2015,중학교,남성중학교,0,9157,0,사당동 304-45,37.47883225,126.9723845,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166,사당동
103,1236695,2015,중학교,동작중학교,0,14905,0,동작동 59-1,37.49502161,126.97727240000002,서울특별시 동작구 동작동 59-1,서울특별시 동작구 동작대로39가길 83,동작동
104,1236696,2015,중학교,문창중학교,0,9571,0,신대방동 364-58,37.49580305,126.92179499999999,서울특별시 동작구 신대방동 364-58,서울특별시 동작구 여의대방로22나길 40,신대방동
105,1236697,2015,중학교,사당중학교,0,12512,0,사당동 209-16,37.48752759,126.9690137,서울특별시 동작구 사당동 209-16,서울특별시 동작구 사당로9가길 58,사당동
106,1236698,2015,중학교,상도중학교,0,20010,0,사당동 181-20,37.490382399999994,126.96153290000001,서울특별시 동작구 사당동 181-20,서울특별시 동작구 사당로2가길 72,사당동
107,1236699,2015,중학교,장승중학교,0,10710,0,상도동 175-1,37.50333533,126.9405967,서울특별시 동작구 상도동 175-1,서울특별시 동작구 장승배기로10가길 25,상도동
108,1236700,2015,중학교,강현중학교,0,15398,0,상도동 335-5,37.50311268,126.9311044,서울특별시 동작구 상도동 335-5,서울특별시 동작구 상도로13라길 22,상도동
109,1236701,2015,중학교,대방여자중,0,13977,0,신대방동 492-200,37.49515406,126.9137645,서울특별시 동작구 신대방동 492-200,서울특별시 동작구 여의대방로10길 24,신대방동
110,1236702,2015,중학교,상현중학교,0,20000,0,상도동 111-52,37.49414042,126.96128909999999,서울특별시 동작구 상도동 111-52,서울특별시 동작구 사당로2길 2-19,상도동
111,1236704,2015,중학교,중대부속남·여중·고교,0,16372,0,흑석동 86,37.50442011,126.9613625,서울특별시 동작구 흑석동 86,서울특별시 동작구 서달로 124,흑석동
112,1236705,2015,중학교,학교,0,0,0,흑석동 60일대,37.50424412,126.9647396,서울특별시 동작구 흑석동 60,서울특별시 동작구 서달로12길 97-6,흑석동
113,1236706,2015,고등학교,"동작고교,행림초교",0,28339,0,사당동 236-4,37.48217181,126.966059,서울특별시 동작구 사당동 236-4,서울특별시 동작구 솔밭로 61-6,사당동
114,1236707,2015,고등학교,수도여고,0,17388,0,신대방동 470-13,37.49304934,126.9155622,서울특별시 동작구 신대방동 470-13,서울특별시 동작구 여의대방로10길 73,신대방동
115,1236708,2015,고등학교,"영화초,영등포중·고교",0,47390,0,대방동 13-2,37.50823103,126.93364150000001,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 5,대방동
116,1236709,2015,고등학교,"서울공업고교,강남중교",0,70000,0,대방동 390-5,37.50137659,126.92262279999998,서울특별시 동작구 대방동 390-5,서울특별시 동작구 대방동1길 46,대방동
117,1236710,2015,고등학교,경문고교,0,35690,0,동작동 산4-2,37.49308079,126.9816294,서울특별시 동작구 동작동 산 4-2,서울특별시 동작구 동작대로 171,동작동
118,1236711,2015,고등학교,숭의여자고등학교,0,12000,0,대방동 20-114,37.50801462,126.9291701,서울특별시 동작구 대방동 20-114,서울특별시 동작구 여의대방로36길 79,대방동
119,1236712,2015,고등학교,성남고등학교,0,96847,0,대방동 375-1,37.50468911,126.9269649,서울특별시 동작구 대방동 375-1,서울특별시 동작구 대방동길 74,대방동
120,1236713,2015,특수학교,삼성농아원,0,3447,0,상도동 산65-127,37.5000468,126.9417581,서울특별시 동작구 상도동 202-6,서울특별시 동작구 양녕로29길 44,상도동
121,1236714,2015,대학(교),중앙대학교,0,176369,0,흑석동 221,37.50439667,126.95639009999998,서울특별시 동작구 흑석동 221,서울특별시 동작구 흑석로 84,흑석동
122,1236715,2015,대학(교),숭실대학교,0,124539,0,상도동 1-1,37.50741924,126.9521405,서울특별시 동작구 상도동 1-1,서울특별시 동작구 매봉로2길 1,상도동
123,1236716,2015,대학(교),총신대학교,0,42309,0,사당동 200-1,37.48918318,126.9666399,서울특별시 동작구 사당동 200-1,서울특별시 동작구 사당로 143,사당동
124,1236717,2015,자치단체청사,공공청사,0,8308,0,동작구 노량진동47-2,37.51226793,126.93942879999999,서울특별시 동작구 노량진동 47-2,서울특별시 동작구 장승배기로 161,노량진동
